Date,ens,flag,pct_mvg,pct_svm,pct_ae,pct_if,Y
2022-01-04,0.14045698924731181,0,0.0846774193548387,0.05510752688172043,0.19623655913978494,0.3077956989247312,1.0
2022-01-11,0.3024193548387097,0,0.32123655913978494,0.05510752688172043,0.31586021505376344,0.28897849462365593,1.0
2022-01-18,0.5369623655913978,0,0.6223118279569892,0.1922043010752688,0.5524193548387096,0.521505376344086,1.0
2022-01-25,0.6599462365591398,0,0.8064516129032258,0.44086021505376344,0.6505376344086021,0.6693548387096774,1.0
2022-02-01,0.6700268817204301,0,0.760752688172043,0.4206989247311828,0.6303763440860215,0.7096774193548387,1.0
2022-02-08,0.8111559139784946,0,0.8387096774193549,0.7163978494623656,0.7836021505376344,0.8763440860215054,1.0
2022-02-15,0.7842741935483871,0,0.9139784946236559,0.6008064516129032,0.7110215053763441,0.8575268817204301,1.0
2022-02-22,0.6431451612903225,0,0.9139784946236559,0.6438172043010753,0.5725806451612904,0.6424731182795699,1.0
2022-03-01,0.9811827956989247,1,0.9879032258064516,0.9758064516129032,0.9865591397849462,0.967741935483871,1.0
2022-03-08,0.9959677419354839,1,0.9973118279569892,0.9852150537634409,0.9986559139784946,0.9946236559139785,1.0
2022-03-15,0.9919354838709677,1,0.9946236559139785,0.989247311827957,0.9973118279569892,0.9879032258064516,1.0
2022-03-22,0.9838709677419355,1,0.9865591397849462,0.9758064516129032,0.9811827956989247,0.9905913978494624,1.0
2022-03-29,0.9240591397849462,0,0.9435483870967742,0.9166666666666666,0.9247311827956989,0.9233870967741935,1.0
2022-04-05,0.8884408602150538,0,0.918010752688172,0.8158602150537635,0.8911290322580645,0.885752688172043,1.0
2022-04-12,0.8938172043010753,0,0.9206989247311828,0.875,0.8655913978494624,0.9126344086021505,1.0
2022-04-19,0.7668010752688172,0,0.7755376344086021,0.7580645161290323,0.6491935483870968,0.8682795698924731,1.0
2022-04-26,0.9112903225806451,0,0.907258064516129,0.9153225806451613,0.896505376344086,0.9448924731182796,1.0
2022-05-03,0.8353494623655914,0,0.8938172043010753,0.7768817204301075,0.7338709677419355,0.9220430107526881,1.0
2022-05-10,0.8508064516129032,0,0.8951612903225806,0.8064516129032258,0.7809139784946236,0.9126344086021505,1.0
2022-05-17,0.7856182795698925,0,0.8400537634408602,0.6196236559139785,0.7459677419354839,0.8252688172043011,1.0
2022-05-24,0.6848118279569892,0,0.8064516129032258,0.5725806451612904,0.6209677419354839,0.7486559139784946,1.0
2022-05-31,0.8279569892473118,0,0.8467741935483871,0.625,0.8091397849462365,0.8575268817204301,1.0
2022-06-07,0.7493279569892473,0,0.8830645161290323,0.6438172043010753,0.739247311827957,0.7594086021505376,1.0
2022-06-14,1.0,1,1.0,1.0,1.0,1.0,1.0
2022-06-21,0.9254032258064516,0,0.9610215053763441,0.8521505376344086,0.9381720430107527,0.9126344086021505,1.0
2022-06-28,0.866263440860215,0,0.9139784946236559,0.8118279569892473,0.8655913978494624,0.8669354838709677,1.0
