model,F1_weighted_CV,AUC-PR_weighted_CV,AUC-ROC_weighted_CV,F1_test,AUC-PR_test,AUC-ROC_test,F-beta_2_test,hyperparams_optimi
MVG,0.5720866637355299,0.7341268395821585,0.8082729660672924,0.6349206349206349,0.7643777818207073,0.8828748890860693,0.7575757575757576,ledoit-wolf
SVM,0.6487953587112072,0.7290351965569865,0.8135242336684418,0.6046511627906976,0.7383189335318014,0.8527062999112689,0.5803571428571429,"nu=0.1, gamma=0.001"
AE,0.6168322799802434,0.7178046835339698,0.7996706863751782,0.5882352941176471,0.7776131879392749,0.8762200532386868,0.4854368932038835,"arch 56-24-12-6-12-24-56, dropout 0.15"
IF,0.5762163932278875,0.6522502085986904,0.7520790330412078,0.5714285714285714,0.6713841466013422,0.805678793256433,0.5405405405405406,"contamination=0.1, n_est=200"
