model_name,F1_wCV,AUC_PR_wCV,AUC_ROC_wCV,F1_test,AUC_PR_test,AUC_ROC_test,F_beta_2_test
MVG,0.5720866637355299,0.7341268395821585,0.8082729660672924,0.6349206349206349,0.7643777818207073,0.8828748890860693,0.7575757575757576
SVM,0.6487953587112072,0.7290351965569865,0.8135242336684418,0.6046511627906976,0.7383189335318014,0.8527062999112689,0.5803571428571429
AE,0.6168322799802434,0.7178046835339698,0.7996706863751782,0.5882352941176471,0.7776131879392749,0.8762200532386868,0.4854368932038835
IF,0.5762163932278875,0.6522502085986904,0.7520790330412078,0.5714285714285714,0.6713841466013422,0.805678793256433,0.5405405405405406
ENS_hard,0.5933364588216908,0.5306456051507825,0.7396471770502502,0.6153846153846154,0.6633125935865158,0.8855368234250222,0.5555555555555556
ENS_soft_mean,0.6548358324682553,0.6695404326237755,0.7840063479555206,0.6341463414634146,0.7421246704508896,0.8580301685891748,0.5909090909090909
ENS_soft_median,0.6501954609786456,0.6055184960852557,0.7759656016429067,0.6470588235294118,0.7533113154957922,0.8604702750665484,0.5339805825242718
