model,tau,AUC_PR,F_beta_2,Recall,Precision,F1,AUC_ROC
frozen_2018,0.9551,0.462,0.3763,0.3621,0.4468,0.4,0.6016
refit_2021,0.8353,0.5777,0.571,0.6379,0.4022,0.4933,0.7074
