fold_id,n_train,n_val,n_pos_val,epsilon_optimal,F1,Precision,Recall,AUC_ROC,AUC_PR,F_beta_2,note
1,313,153,53,81.74131553347895,0.5955056179775281,0.424,1.0,0.8256603773584906,0.8231037989388578,0.7863501483679525,Primary
2,470,152,64,68.89408265924729,0.6183574879227053,0.44755244755244755,1.0,0.8087713068181819,0.8001359553280825,0.8020050125313283,Primary
3,626,101,2,73.87969880830987,0.07692307692307693,0.041666666666666664,0.5,0.6313131313131313,0.04285714285714286,0.15625,"Noisy, n_pos=2"
4,731,100,10,141.72251439477205,0.29411764705882354,0.20833333333333334,0.5,0.6822222222222222,0.20858256207394138,0.390625,"Caveat, n_pos=10"
5,835,100,6,97.31034258528393,0.5,0.5,0.5,0.9184397163120568,0.3503968253968254,0.5,"Noisy, n_pos=6"
weighted_mean,2975,606,135,81.74131553347895,0.5720866637355299,0.41690387637054305,0.9333333333333333,0.8082729660672924,0.7341268395821585,0.7423972493741221,n_pos-weighted (median eps)
test_holdout,744,121,23,81.74131553347895,0.6349206349206349,0.5,0.8695652173913043,0.8828748890860693,0.7643777818207073,0.7575757575757576,final eval (COVID)
