window,F1,Precision,Recall,AUC_ROC,AUC_PR,F_beta_2
control_2019_2021,0.5789473684210527,0.7333333333333333,0.4782608695652174,0.8791038154392191,0.7619511669699461,0.514018691588785
oos_2022_2025,0.40384615384615385,0.45652173913043476,0.3620689655172414,0.62108928979219,0.4857315341332029,0.3776978417266187
