mode,fold,tau,n_pos,F1,F2,precision,recall,coverage
soft_median,1,0.8,53,0.574585635359116,0.7647058823529411,0.40625,0.9811320754716981,0.8366013071895425
soft_median,1,0.8025,53,0.574585635359116,0.7647058823529411,0.40625,0.9811320754716981,0.8366013071895425
soft_median,1,0.805,53,0.574585635359116,0.7647058823529411,0.40625,0.9811320754716981,0.8366013071895425
soft_median,1,0.8075,53,0.574585635359116,0.7647058823529411,0.40625,0.9811320754716981,0.8366013071895425
soft_median,1,0.81,53,0.574585635359116,0.7647058823529411,0.40625,0.9811320754716981,0.8366013071895425
soft_median,1,0.8125,53,0.574585635359116,0.7647058823529411,0.40625,0.9811320754716981,0.8366013071895425
soft_median,1,0.815,53,0.574585635359116,0.7647058823529411,0.40625,0.9811320754716981,0.8366013071895425
soft_median,1,0.8175,53,0.574585635359116,0.7647058823529411,0.40625,0.9811320754716981,0.8366013071895425
soft_median,1,0.82,53,0.5777777777777777,0.7669616519174042,0.4094488188976378,0.9811320754716981,0.8300653594771242
soft_median,1,0.8225,53,0.5777777777777777,0.7669616519174042,0.4094488188976378,0.9811320754716981,0.8300653594771242
soft_median,1,0.825,53,0.5777777777777777,0.7669616519174042,0.4094488188976378,0.9811320754716981,0.8300653594771242
soft_median,1,0.8275,53,0.5777777777777777,0.7669616519174042,0.4094488188976378,0.9811320754716981,0.8300653594771242
soft_median,1,0.83,53,0.5777777777777777,0.7669616519174042,0.4094488188976378,0.9811320754716981,0.8300653594771242
soft_median,1,0.8325,53,0.5777777777777777,0.7669616519174042,0.4094488188976378,0.9811320754716981,0.8300653594771242
soft_median,1,0.835,53,0.5777777777777777,0.7669616519174042,0.4094488188976378,0.9811320754716981,0.8300653594771242
soft_median,1,0.8375,53,0.5777777777777777,0.7669616519174042,0.4094488188976378,0.9811320754716981,0.8300653594771242
soft_median,1,0.84,53,0.5777777777777777,0.7669616519174042,0.4094488188976378,0.9811320754716981,0.8300653594771242
soft_median,1,0.8425,53,0.5777777777777777,0.7669616519174042,0.4094488188976378,0.9811320754716981,0.8300653594771242
soft_median,1,0.845,53,0.5777777777777777,0.7669616519174042,0.4094488188976378,0.9811320754716981,0.8300653594771242
soft_median,1,0.8475,53,0.5810055865921788,0.7692307692307693,0.4126984126984127,0.9811320754716981,0.8235294117647058
soft_median,1,0.85,53,0.5810055865921788,0.7692307692307693,0.4126984126984127,0.9811320754716981,0.8235294117647058
soft_median,1,0.8525,53,0.5842696629213483,0.771513353115727,0.416,0.9811320754716981,0.8169934640522876
soft_median,1,0.855,53,0.5842696629213483,0.771513353115727,0.416,0.9811320754716981,0.8169934640522876
soft_median,1,0.8575,53,0.5875706214689266,0.7738095238095238,0.41935483870967744,0.9811320754716981,0.8104575163398693
soft_median,1,0.86,53,0.5795454545454546,0.7611940298507462,0.4146341463414634,0.9622641509433962,0.803921568627451
soft_median,1,0.8625,53,0.5795454545454546,0.7611940298507462,0.4146341463414634,0.9622641509433962,0.803921568627451
