Date,EWS,MSCI_BH,60_40,Butterfly,Permanent,RiskParity
2019-01-01,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-08,1.0330161634942039,1.0222337307910077,1.0141427057600958,1.0071177931183535,1.0066834674110754,1.0049047196862244
2019-01-15,1.0537993303540845,1.036103308991302,1.022906352537077,1.0114773657515597,1.0108433943044273,1.0079201395136153
2019-01-22,1.0714597699125048,1.047838187826632,1.0325131511044987,1.0167638499351135,1.0146027326748923,1.0126973822169503
2019-01-29,1.0763925910566634,1.0512159315965737,1.036869906194155,1.02567789247138,1.0221659941218113,1.0217917956996267
2019-02-05,1.1165998108215491,1.0775558264985876,1.0558403060620776,1.0372676166027572,1.0317503471507732,1.0315366332378855
2019-02-12,1.1112303827728527,1.074268901203507,1.0541148466654933,1.0358571090414739,1.030341251476829,1.0305027533665811
2019-02-19,1.1391651200797195,1.09243920087767,1.0660006671436326,1.0476546088150258,1.0414698969831997,1.0404467885941318
2019-02-26,1.1527972303274152,1.1013252382570669,1.0717781556014052,1.0475862524123294,1.0411729782289953,1.0399420247718518
2019-03-05,1.1550875651986596,1.1029557174505182,1.0717494844532642,1.0383545683838244,1.0327150396991007,1.0310537743899983
2019-03-12,1.1470904818271612,1.0980375098701067,1.0719090772611692,1.0439743778436459,1.0366025206871423,1.037587347693462
2019-03-19,1.17433716637493,1.115597170078141,1.0825254271926565,1.0503764367887747,1.0428809158850336,1.0423088347297216
2019-03-26,1.1614753378308789,1.1076266058236655,1.0841755687297614,1.0577567893262563,1.0465436558596435,1.0519793174772392
2019-04-02,1.1812927664277737,1.1203968172245158,1.0910183965949505,1.0547665790463328,1.0441028192853667,1.0480588079025097
2019-04-09,1.1879880990754579,1.1248029811938445,1.0946729349869353,1.0601186956059574,1.048875464373602,1.053093958167113
2019-04-16,1.2017551911243625,1.1336673880178094,1.0996826718274508,1.0558493417402826,1.044873098512622,1.0485603559502035
2019-04-23,1.2102706104876748,1.139198755708083,1.1034082292397989,1.0574734166677984,1.0463013700167194,1.0498995801354267
2019-04-30,1.2103897128686292,1.139449478821684,1.1058593025326293,1.0625470248202424,1.0500763191477067,1.0552732821229376
2019-05-07,1.175597458555023,1.1177902840501108,1.0941757429569732,1.0587477883222343,1.045892208988055,1.0535580279962258
2019-05-14,1.134652641578577,1.0920073686045875,1.078604917458744,1.0545198719593707,1.0420915326681954,1.0511740387633557
2019-05-21,1.1509468201162152,1.1026275248037822,1.0849694144113493,1.0525683116381381,1.040238889031326,1.0487963756725667
2019-05-28,1.1322080828158343,1.090824861575113,1.081041800476284,1.0543853610668596,1.0403296485055258,1.052461733683751
2019-06-04,1.1083764519103043,1.0756810374650845,1.0750426188640692,1.0638132591830045,1.0479408439965003,1.0627426169495617
2019-06-11,1.1591023100327904,1.1086555690619522,1.0961595492990295,1.0746250179434105,1.057885634937391,1.0704477306488034
2019-06-18,1.1605791299998738,1.1097543824141591,1.0999207214175468,1.082655141609026,1.0640276465623288,1.0786510082518932
2019-06-25,1.1635929864173729,1.111826500024296,1.1059548980256426,1.1046676668341409,1.0828666625054162,1.0987022919121692
2019-07-02,1.2002111884717743,1.135307390608976,1.1223456868482464,1.1094694155597815,1.0862323331931647,1.1033632649749907
2019-07-09,1.1941836967850967,1.131669052858829,1.1180967696584843,1.1043861586556654,1.0826370114374035,1.098241492149919
2019-07-16,1.1976353775369417,1.1340052433351484,1.1179265839260273,1.1054632016450252,1.0847455451137482,1.0977620616204862
2019-07-23,1.2026070719272384,1.1372919897171947,1.1223549681510456,1.1113686745366798,1.0891401929342979,1.1037589840332012
2019-07-30,1.1968908628274453,1.1338382757990362,1.1213277982123546,1.113644141768856,1.090860648283222,1.1062401874016325
2019-08-06,1.1145703256924777,1.0819964312067856,1.0974551725652326,1.1177527802798741,1.0908027830635842,1.1155902145657952
2019-08-13,1.12577324249318,1.0893846050155132,1.1042958076695852,1.1284694027942574,1.0999088710849416,1.1251205744634898
2019-08-20,1.1257977102200551,1.0895330710409457,1.1077156067954457,1.133247218348075,1.1025935660488402,1.1310127789148645
2019-08-27,1.116981395557138,1.0839824042315493,1.1074758087945262,1.1429794176859507,1.110209641048201,1.1408302627292328
2019-09-03,1.141335472032597,1.0998743398570179,1.1171792039534587,1.147702464590303,1.1149254696970687,1.1438985686648178
2019-09-10,1.1845497132496827,1.1277735894983205,1.1276919199617614,1.1364942701154304,1.1081891974071651,1.1299250434974157
2019-09-17,1.2148871851726184,1.1471717311462841,1.1369816674746287,1.1412065324962173,1.1143314590622881,1.1316675382864283
2019-09-24,1.2093832811978804,1.1438468906099228,1.1417766457581886,1.1542587092576315,1.1230299078140515,1.1459603016218767
2019-10-01,1.1930147700944898,1.1336550701870676,1.1352744328425466,1.1416058098640178,1.1110592406251159,1.1357577934434364
2019-10-08,1.1623352584997975,1.1143408427042139,1.1253973465715117,1.1421534999634675,1.1106243387241006,1.1375025355128274
2019-10-15,1.2186247132265282,1.1504353677646855,1.1430188215728934,1.1423124709236492,1.1134883821174668,1.1343054259864525
2019-10-22,1.222868026380904,1.153226783277655,1.146435455627203,1.145850479043176,1.1159577647573,1.138000821376034
2019-10-29,1.2494967216945712,1.1700865986693858,1.1553133898064905,1.149253359629784,1.1200746673882176,1.1397178637804068
2019-11-05,1.277583684926571,1.187736429311992,1.165253139882358,1.1521185355609898,1.1232627435500195,1.1413809040114777
2019-11-12,1.2904101352074735,1.1958050968538483,1.1698317971660805,1.1481401736422157,1.1195714320492391,1.1380257706580996
2019-11-19,1.2882456748687678,1.1945870262764817,1.1729544352997847,1.1566205660775555,1.1256289943554225,1.1467911821867856
2019-11-26,1.3013373635782075,1.2028011083949919,1.1803628043294778,1.1589537794620368,1.126444131454134,1.1498993042974193
2019-12-03,1.2754347199987768,1.1869604343958522,1.1721731577833543,1.1602683655419281,1.1271278375176554,1.1517215822792082
2019-12-10,1.2974008100747212,1.2007059240884437,1.1789015539659642,1.15878828240541,1.1266246219067062,1.149593053196822
2019-12-17,1.3355564142775085,1.2243656000113239,1.1931153653175899,1.1675934210291237,1.135103971254768,1.1565092331747675
2019-12-24,1.341228709470148,1.2279552639056341,1.1958591899657416,1.1736902107892375,1.1407330864333411,1.1615893667075483
2019-12-31,1.3345288679058827,1.2239874307911585,1.1939085810246954,1.1777090027292394,1.1445043697169495,1.164675171624172
2020-01-07,1.3410787661290415,1.2281108434286665,1.1972518135988675,1.1893543450818493,1.155347301087946,1.1739312306474186
2020-01-14,1.361878147057545,1.2409311852686893,1.2065606571765077,1.189333930228866,1.154322034571562,1.1754870995583162
2020-01-21,1.3726201011656405,1.2475784456176453,1.2136744250431335,1.1975276791320582,1.160424787376854,1.1834382991751502
2020-01-28,1.3385691498085595,1.2270694266335582,1.204472057449745,1.1984799112867768,1.1597793032121804,1.1846021900142198
2020-02-04,1.341277208325791,1.2288460370837704,1.2061360636715015,1.1960176801780464,1.1571110753712115,1.1832396218575625
2020-02-11,1.383374085445043,1.2546809429447736,1.2234271689301726,1.207785510488139,1.1673376849310737,1.1940916105404735
2020-02-18,1.3687823882008,1.2459842825987635,1.220033864628648,1.2146816568897343,1.173080293267969,1.1995273141512004
2020-02-25,1.2611427427437398,1.1807829673223649,1.1853512594774742,1.2122552977801953,1.1686447443249182,1.1966038630643883
2020-03-03,1.1548043804247,1.114477579119602,1.1489212885726885,1.1990864720362875,1.1538402445890985,1.187327450121554
2020-03-10,1.161728237252101,1.0315781944131115,1.0897598690606303,1.1687941844337055,1.129663943300103,1.1596884369958242
2020-03-17,1.0755069039224645,0.9068719168543666,0.9812325510405376,1.0722570619222513,1.0554681634026595,1.0684254150451757
2020-03-24,1.1406441257536146,0.9261259203143231,0.9749779045099571,1.0685659175612132,1.064441114431634,1.0657953570624026
2020-03-31,1.119644098448542,0.9752522455098805,1.0290465830655926,1.109380042997078,1.089380796485986,1.1036289062213442
2020-04-07,1.1576221258070654,0.9926048031932003,1.0414231310521638,1.125596389914004,1.1043906345538013,1.1217372101908074
2020-04-14,1.2151707491826287,1.030095132736629,1.0821273511543963,1.173321521234049,1.1398877769654747,1.1698596059822592
2020-04-21,1.172371894735053,1.00180317471153,1.0664551781116505,1.1578620140567646,1.1234511660540196,1.1513497530932422
2020-04-28,1.1951517041340494,1.042813509002524,1.0935668034144672,1.176581296771604,1.1410147412166487,1.1712881039278964
2020-05-05,1.1930706203470602,1.032981716390413,1.085131610943152,1.1702711943022504,1.1363673042664155,1.1652289019788273
2020-05-12,1.1930495992987067,1.04953929633523,1.091987087526915,1.170128646392407,1.1385789634795058,1.1656801672253716
2020-05-19,1.1918827967905925,1.0564530594142707,1.1016828530708358,1.1860892860051848,1.1506097302380258,1.1823083659224685
2020-05-26,1.2396818287222542,1.0854456828693486,1.124416422875832,1.1953079652597514,1.1565608474052347,1.189607245573141
2020-06-02,1.3002861452922823,1.1208315060761649,1.1503905339817064,1.2125080283953897,1.1706522774242658,1.2066693195817264
2020-06-09,1.3616512236020355,1.1561068176590925,1.1755272318662928,1.2248950228191353,1.1804496350428826,1.2179968971339739
