,EWS_frozen,MSCI_BH,Levered_1.5x
CAGR,0.0002983911566118991,0.08632567269589386,0.0967583636079028
Sharpe,-0.07996318233831012,0.32785075945768183,0.32796109769413223
Sortino,-0.10377056465705761,0.45546180539879144,0.45276116212257106
Calmar,0.0007976042498028521,0.3100298744714442,0.24088668870876975
Max_Drawdown,-0.37410928626026496,-0.2784430785680463,-0.40167584239112086
Annual_Turnover,9.205741626794259,,
Hit_Ratio_RiskOff,0.3620689655172414,,
