cluster_id,members,n_members,mean_drop,std_drop,drop_fold_1,drop_fold_2,drop_fold_3,drop_fold_4,drop_fold_5
3,it_de_10y,1,0.09848169505528093,0.023878635941212385,0.09482575081284336,0.12879996238373334,-0.005010911818801235,0.0011827651288411774,0.004043436528747451
8,it_de_10y_chg4w,1,0.03502431696637223,0.0238655586352832,0.012838108440462742,0.055576328310249015,-0.002777921724404138,-0.0029733413162231536,0.08771121464513802
19,EMUSTRUU|LF98TRUU|LG30TRUU|LP01TREU,4,0.02358187641505387,0.01063215387705855,0.0536803085624478,0.006081247254561095,0.004063516252131329,-0.003839614191717226,-0.003405625442743526
15,equity_bond_rot|hy_ig_spread_chg4w,2,0.010813292337096811,0.005916977494670609,0.014066761325798155,0.00845152068327511,-0.0003561766560391822,0.005185277933752548,0.020369727580952145
26,GT10|LUACTRUU|LUMSTRUU|USGG2YR,4,0.00811467385488957,0.007852025208647239,0.013547053805862935,0.00541393159481397,0.0013231767063073773,-0.00587365659339278,0.014514284858762558
20,MXBR|MXRU,2,0.007054242714140796,0.0067638124791511755,0.013993718411114848,0.004135860523240914,0.0035052619672120006,-0.005913649732137703,-0.000318901580090869
7,GTITL10YR|GTITL2YR|GTITL30YR,3,0.00634359420832638,0.017829275372968773,0.0045661045531647125,0.012364078559920194,-0.0040291422434050456,-0.012450128313069872,-0.007393297235175358
33,US0001M,1,0.005932475864105707,0.0053898413942868794,0.015155979090628874,6.449937911753856e-05,-2.1258503401360566e-05,-8.388688291865453e-05,-0.0009382040960988491
21,MXCN|MXIN,2,0.005762649365278523,0.005157022230387258,0.0130421463479167,0.0002825439647548278,-0.0002415016920372149,1.5383869220952918e-06,0.011518118940593342
24,GTDEM10Y|GTGBP30Y,2,0.00571809790054538,0.007509470792004845,0.005183597075296781,0.006611356978189736,0.001359458866500594,-0.0119003853931511,0.03172844352954394
2,gold_oil_ratio,1,0.005234371959069724,0.0056933877600102555,0.006807383287073721,0.0037142390587270755,-2.224434368673818e-06,0.013574028853015485,-0.00459970652674081
22,MXEU|MXUS,2,0.004494915686034112,0.004365613306131659,0.005943632814128619,0.001125749638768342,0.001631768500414741,0.01231185801144025,0.015561830744897079
18,CRY|Cl1,2,0.004337431873918346,0.004220918862557891,0.004587129834340975,0.003626763278401851,-5.5512456934671096e-05,0.0013576435427545331,0.01614286023791843
30,us_term_10y_2y_chg4w,1,0.0036440376965404357,0.0025776546389644,0.0011337544033578673,0.007546473928712433,7.949282468844559e-05,-0.0013404436221070987,-0.006312129201818295
16,em_spread_chg4w,1,0.0035079334395387582,0.0031984444141255003,0.008040630401349303,0.0005343964963620384,0.00022273819365911367,-0.0016872232972066207,0.004940497313966128
35,BDIY,1,0.002830472684393488,0.00516188534398129,0.010779359835189134,0.0007194589668583551,-0.004093543521344763,-0.0021355202609554423,-0.03428255718309899
12,LF94TRUU,1,0.0027842906330245495,0.0035150883169900874,0.003942493491186927,0.003945498118385293,-0.0003133308122819759,-0.001857391037351447,-0.01106403785886222
17,VIX,1,0.002190616792477911,0.0033965361525922525,0.005642474612825288,0.0008714375662722373,-0.001273268498605875,-0.0029837779454052874,-0.004450929214230145
1,em_spread|hy_ig_spread|us_de_10y,3,0.002181119512997086,0.0017706571289228387,0.00241594636932424,0.00013346833919268276,0.008645630373372772,-0.011082433917168594,0.04189951356617176
25,GTDEM2Y|GTGBP2Y,2,0.002065611819954786,0.004140189530267253,0.0036584663040357956,0.0011841736014041205,0.00027499969182460135,0.0008006089884905129,0.00010261363693014613
14,us_de_10y_chg4w,1,0.0020253533420821384,0.0020131742448632442,0.0014198558275549556,0.003775774468372267,-0.0015252038656170864,-0.000926574272708866,-0.005193845532804367
34,vrp,1,0.0019266393516333845,0.0011197718313226315,0.0020745103192652825,0.0004878501218149589,0.0007001478743591195,0.012772204381263341,-0.0016995803013436866
23,MXJP,1,0.0015537488083577414,0.0033293789680575053,0.0007329562000470191,0.0006948500212465792,-0.0011075434331164781,0.007583130854992399,0.008803797913721828
4,de_term_10y_2y|us_term_10y_2y,2,0.0012918128277103953,0.0011311396634064693,0.002072186721333891,0.0007104069553382497,-0.0016304539591434834,-0.005658636537199384,0.013158343943139991
