date,it10y
2014-01-02 00:00:00+00:00,3.97199988365173
2014-01-03 00:00:00+00:00,3.94000005722046
2014-01-04 00:00:00+00:00,3.93499994277954
2014-01-06 00:00:00+00:00,3.92899990081787
2014-01-07 00:00:00+00:00,3.87800002098083
2014-01-08 00:00:00+00:00,3.88800001144409
2014-01-09 00:00:00+00:00,3.88299989700317
2014-01-10 00:00:00+00:00,3.91400003433228
2014-01-11 00:00:00+00:00,3.93400001525879
2014-01-13 00:00:00+00:00,3.8989999294281
2014-01-14 00:00:00+00:00,3.88499999046326
2014-01-15 00:00:00+00:00,3.86899995803833
2014-01-16 00:00:00+00:00,3.84599995613098
2014-01-17 00:00:00+00:00,3.81599998474121
2014-01-18 00:00:00+00:00,3.8199999332428
2014-01-20 00:00:00+00:00,3.79399991035461
2014-01-21 00:00:00+00:00,3.82699990272522
2014-01-22 00:00:00+00:00,3.82200002670288
2014-01-23 00:00:00+00:00,3.86299991607666
2014-01-24 00:00:00+00:00,3.89299988746643
2014-01-25 00:00:00+00:00,3.92499995231628
2014-01-27 00:00:00+00:00,3.90700006484985
2014-01-28 00:00:00+00:00,3.85899996757507
2014-01-29 00:00:00+00:00,3.86700010299683
2014-01-30 00:00:00+00:00,3.83899998664856
2014-01-31 00:00:00+00:00,3.78399991989136
2014-02-01 00:00:00+00:00,3.77999997138977
2014-02-03 00:00:00+00:00,3.75999999046326
2014-02-04 00:00:00+00:00,3.78800010681152
2014-02-05 00:00:00+00:00,3.76300001144409
2014-02-06 00:00:00+00:00,3.76200008392334
2014-02-07 00:00:00+00:00,3.68899989128113
2014-02-08 00:00:00+00:00,3.69400000572205
2014-02-10 00:00:00+00:00,3.69000005722046
2014-02-11 00:00:00+00:00,3.69700002670288
2014-02-12 00:00:00+00:00,3.73099994659424
2014-02-13 00:00:00+00:00,3.72000002861023
2014-02-14 00:00:00+00:00,3.68300008773804
2014-02-15 00:00:00+00:00,3.69799995422363
2014-02-17 00:00:00+00:00,3.61999988555908
2014-02-18 00:00:00+00:00,3.56500005722046
2014-02-19 00:00:00+00:00,3.58999991416931
2014-02-20 00:00:00+00:00,3.65100002288818
2014-02-21 00:00:00+00:00,3.60700011253357
2014-02-22 00:00:00+00:00,3.61700010299683
2014-02-24 00:00:00+00:00,3.61700010299683
2014-02-25 00:00:00+00:00,3.58800005912781
2014-02-26 00:00:00+00:00,3.54399991035461
2014-02-27 00:00:00+00:00,3.47699999809265
2014-02-28 00:00:00+00:00,3.47900009155273
2014-03-01 00:00:00+00:00,3.48000001907349
2014-03-03 00:00:00+00:00,3.45700001716614
2014-03-04 00:00:00+00:00,3.41499996185303
2014-03-05 00:00:00+00:00,3.37299990653992
2014-03-06 00:00:00+00:00,3.44899988174438
2014-03-07 00:00:00+00:00,3.41700005531311
2014-03-08 00:00:00+00:00,3.42499995231628
2014-03-09 00:00:00+00:00,3.42499995231628
2014-03-10 00:00:00+00:00,3.37100005149841
2014-03-11 00:00:00+00:00,3.40000009536743
2014-03-12 00:00:00+00:00,3.41700005531311
2014-03-13 00:00:00+00:00,3.3970000743866
2014-03-14 00:00:00+00:00,3.41300010681152
2014-03-15 00:00:00+00:00,3.41000008583069
2014-03-17 00:00:00+00:00,3.37899994850159
2014-03-18 00:00:00+00:00,3.3659999370575
2014-03-19 00:00:00+00:00,3.38499999046326
2014-03-20 00:00:00+00:00,3.43899989128113
2014-03-21 00:00:00+00:00,3.40599989891052
2014-03-22 00:00:00+00:00,3.41300010681152
2014-03-24 00:00:00+00:00,3.41599988937378
2014-03-25 00:00:00+00:00,3.39800000190735
2014-03-26 00:00:00+00:00,3.34200000762939
2014-03-27 00:00:00+00:00,3.29200005531311
2014-03-28 00:00:00+00:00,3.30299997329712
2014-03-29 00:00:00+00:00,3.30900001525879
2014-03-31 00:00:00+00:00,3.30100011825562
2014-04-01 00:00:00+00:00,3.29299998283386
2014-04-02 00:00:00+00:00,3.31299996376038
2014-04-03 00:00:00+00:00,3.26099991798401
2014-04-04 00:00:00+00:00,3.1800000667572
2014-04-05 00:00:00+00:00,3.17300009727478
2014-04-07 00:00:00+00:00,3.19400000572205
2014-04-08 00:00:00+00:00,3.22399997711182
2014-04-09 00:00:00+00:00,3.19700002670288
2014-04-10 00:00:00+00:00,3.16000008583069
2014-04-11 00:00:00+00:00,3.21000003814697
2014-04-12 00:00:00+00:00,3.21600008010864
2014-04-13 00:00:00+00:00,3.22300004959106
2014-04-14 00:00:00+00:00,3.17499995231628
2014-04-15 00:00:00+00:00,3.1159999370575
2014-04-16 00:00:00+00:00,3.09899997711182
2014-04-17 00:00:00+00:00,3.11999988555908
2014-04-19 00:00:00+00:00,3.12400007247925
2014-04-22 00:00:00+00:00,3.08899998664856
2014-04-23 00:00:00+00:00,3.08899998664856
2014-04-24 00:00:00+00:00,3.12199997901917
2014-04-25 00:00:00+00:00,3.11400008201599
2014-04-26 00:00:00+00:00,3.11100006103516
2014-04-27 00:00:00+00:00,3.11199998855591
2014-04-28 00:00:00+00:00,3.14199995994568
2014-04-29 00:00:00+00:00,3.12700009346008
2014-04-30 00:00:00+00:00,3.0789999961853
2014-05-01 00:00:00+00:00,3.07399988174438
2014-05-02 00:00:00+00:00,3.0460000038147
2014-05-03 00:00:00+00:00,3.05100011825562
2014-05-05 00:00:00+00:00,3.03800010681152
2014-05-06 00:00:00+00:00,3.00200009346008
2014-05-07 00:00:00+00:00,3.01900005340576
2014-05-08 00:00:00+00:00,2.92700004577637
2014-05-09 00:00:00+00:00,2.95199990272522
2014-05-10 00:00:00+00:00,2.95799994468689
2014-05-12 00:00:00+00:00,2.97099995613098
2014-05-13 00:00:00+00:00,2.94300007820129
2014-05-14 00:00:00+00:00,2.91599988937378
2014-05-15 00:00:00+00:00,3.09200000762939
2014-05-16 00:00:00+00:00,3.06900000572205
2014-05-17 00:00:00+00:00,3.07200002670288
2014-05-18 00:00:00+00:00,3.07100009918213
2014-05-19 00:00:00+00:00,3.16599988937378
2014-05-20 00:00:00+00:00,3.25600004196167
2014-05-21 00:00:00+00:00,3.19300007820129
2014-05-22 00:00:00+00:00,3.23099994659424
2014-05-23 00:00:00+00:00,3.15100002288818
2014-05-24 00:00:00+00:00,3.15199995040894
2014-05-25 00:00:00+00:00,3.15000009536743
2014-05-26 00:00:00+00:00,2.99000000953674
2014-05-27 00:00:00+00:00,2.98200011253357
2014-05-28 00:00:00+00:00,2.92700004577637
2014-05-29 00:00:00+00:00,2.9539999961853
2014-05-30 00:00:00+00:00,2.96499991416931
2014-05-31 00:00:00+00:00,2.96399998664856
2014-06-01 00:00:00+00:00,2.96499991416931
2014-06-02 00:00:00+00:00,2.96300005912781
2014-06-03 00:00:00+00:00,2.99300003051758
2014-06-04 00:00:00+00:00,3.01399993896484
2014-06-05 00:00:00+00:00,2.93600010871887
2014-06-06 00:00:00+00:00,2.76900005340576
2014-06-07 00:00:00+00:00,2.7590000629425
2014-06-08 00:00:00+00:00,2.76300001144409
2014-06-09 00:00:00+00:00,2.71499991416931
2014-06-10 00:00:00+00:00,2.78099989891052
2014-06-11 00:00:00+00:00,2.79099988937378
2014-06-12 00:00:00+00:00,2.8199999332428
2014-06-13 00:00:00+00:00,2.77800011634827
2014-06-14 00:00:00+00:00,2.78099989891052
2014-06-15 00:00:00+00:00,2.77900004386902
2014-06-16 00:00:00+00:00,2.76999998092651
2014-06-17 00:00:00+00:00,2.82299995422363
2014-06-18 00:00:00+00:00,2.84599995613098
2014-06-19 00:00:00+00:00,2.78900003433228
2014-06-20 00:00:00+00:00,2.84299993515015
2014-06-21 00:00:00+00:00,2.82999992370605
2014-06-22 00:00:00+00:00,2.83100008964539
2014-06-23 00:00:00+00:00,2.78999996185303
2014-06-24 00:00:00+00:00,2.7590000629425
2014-06-25 00:00:00+00:00,2.73399996757507
2014-06-26 00:00:00+00:00,2.72000002861023
2014-06-27 00:00:00+00:00,2.71600008010864
2014-06-28 00:00:00+00:00,2.72399997711182
2014-06-29 00:00:00+00:00,2.71799993515015
2014-06-30 00:00:00+00:00,2.73900008201599
2014-07-01 00:00:00+00:00,2.72399997711182
2014-07-02 00:00:00+00:00,2.88700008392334
2014-07-03 00:00:00+00:00,2.85800004005432
2014-07-04 00:00:00+00:00,2.81500005722046
2014-07-05 00:00:00+00:00,2.82599997520447
2014-07-07 00:00:00+00:00,2.81500005722046
2014-07-08 00:00:00+00:00,2.84400010108948
2014-07-09 00:00:00+00:00,2.87100005149841
2014-07-10 00:00:00+00:00,2.93600010871887
2014-07-11 00:00:00+00:00,2.89299988746643
2014-07-12 00:00:00+00:00,2.89499998092651
2014-07-13 00:00:00+00:00,2.90199995040894
2014-07-14 00:00:00+00:00,2.88100004196167
2014-07-15 00:00:00+00:00,2.8529999256134
2014-07-16 00:00:00+00:00,2.80900001525879
2014-07-17 00:00:00+00:00,2.77999997138977
2014-07-18 00:00:00+00:00,2.80299997329712
2014-07-19 00:00:00+00:00,2.78200006484985
2014-07-20 00:00:00+00:00,2.78200006484985
2014-07-21 00:00:00+00:00,2.76900005340576
2014-07-22 00:00:00+00:00,2.7739999294281
2014-07-23 00:00:00+00:00,2.72699999809265
2014-07-24 00:00:00+00:00,2.73399996757507
2014-07-25 00:00:00+00:00,2.71600008010864
2014-07-26 00:00:00+00:00,2.72199988365173
2014-07-27 00:00:00+00:00,2.72199988365173
2014-07-28 00:00:00+00:00,2.67300009727478
2014-07-29 00:00:00+00:00,2.6470000743866
2014-07-30 00:00:00+00:00,2.66899991035461
2014-07-31 00:00:00+00:00,2.69700002670288
2014-08-01 00:00:00+00:00,2.73099994659424
2014-08-02 00:00:00+00:00,2.76200008392334
2014-08-04 00:00:00+00:00,2.70000004768372
2014-08-05 00:00:00+00:00,2.75200009346008
2014-08-06 00:00:00+00:00,2.80900001525879
2014-08-07 00:00:00+00:00,2.85599994659424
2014-08-08 00:00:00+00:00,2.83800005912781
2014-08-09 00:00:00+00:00,2.82800006866455
2014-08-10 00:00:00+00:00,2.82800006866455
2014-08-11 00:00:00+00:00,2.79099988937378
2014-08-12 00:00:00+00:00,2.73600006103516
2014-08-13 00:00:00+00:00,2.73699998855591
2014-08-14 00:00:00+00:00,2.6710000038147
2014-08-15 00:00:00+00:00,2.60700011253357
2014-08-16 00:00:00+00:00,2.60700011253357
2014-08-17 00:00:00+00:00,2.60400009155273
2014-08-18 00:00:00+00:00,2.63899993896484
2014-08-19 00:00:00+00:00,2.59699988365173
